station_id,year,month,is_weekend,hour,n_hours,hours_rain,hours_light_rain,hours_heavy_rain,hours_frost,hours_hot,hours_strong_sun,mean_temp,mean_precip,mean_solar,n_accidents,n_fatal,n_serious,n_loss_control,n_wet_road,n_icy_road,state,rain_share,heavy_rain_share,frost_share,hot_share,strong_sun_share,is_commuter_hour
379,2021,11,True,12,8,0,0,0,0,0,0,6.6875,0.0,,3,0,1,0,0,0,Thüringen,0.0,0.0,0.0,0.0,0.0,False
379,2022,6,False,17,22,0,0,0,0,0,0,22.863636363636363,0.0,,29,0,6,10,4,0,Thüringen,0.0,0.0,0.0,0.0,0.0,True
379,2023,10,True,3,9,1,1,0,0,0,0,11.166666666666666,0.0111111111111111,,1,0,0,0,0,0,Thüringen,0.1111111111111111,0.0,0.0,0.0,0.0,False
390,2022,9,False,4,22,4,4,0,0,0,0,9.459090909090907,0.2909090909090909,,2,0,0,1,1,0,Nordrhein-Westfalen,0.1818181818181818,0.0,0.0,0.0,0.0,False
390,2024,9,True,22,9,0,0,0,0,0,0,12.622222222222222,0.0,,8,0,0,2,0,0,Nordrhein-Westfalen,0.0,0.0,0.0,0.0,0.0,False
400,2020,11,True,3,9,1,1,0,1,0,0,5.066666666666666,0.0222222222222222,,0,0,0,0,0,0,Berlin,0.1111111111111111,0.0,0.1111111111111111,0.0,0.0,False
400,2021,9,False,14,22,2,2,0,0,0,0,19.009090909090908,0.0181818181818181,,40,0,5,4,2,0,Berlin,0.0909090909090909,0.0,0.0,0.0,0.0,False
400,2023,7,False,7,21,2,2,0,0,0,0,15.480952380952385,0.0142857142857142,,17,0,1,1,1,0,Berlin,0.0952380952380952,0.0,0.0,0.0,0.0,True
403,2020,2,False,19,20,5,5,0,0,0,0,5.16,0.13,,34,0,9,2,13,0,Berlin,0.25,0.0,0.0,0.0,0.0,False
403,2021,2,False,18,20,5,5,0,7,0,0,3.05,0.175,,21,0,1,1,10,6,Berlin,0.25,0.0,0.35,0.0,0.0,True
445,2020,2,True,16,8,3,3,0,0,0,0,10.4875,0.3,,7,0,2,1,2,0,Sachsen-Anhalt,0.375,0.0,0.0,0.0,0.0,False
445,2022,4,False,23,21,2,2,0,0,0,0,7.947619047619048,0.0142857142857142,,3,0,0,1,0,0,Sachsen-Anhalt,0.0952380952380952,0.0,0.0,0.0,0.0,False
445,2023,1,False,18,22,2,2,0,5,0,0,4.340909090909091,0.0181818181818181,,18,0,2,3,8,0,Sachsen-Anhalt,0.0909090909090909,0.0,0.2272727272727272,0.0,0.0,True
445,2023,11,False,2,22,6,6,0,3,0,0,5.477272727272728,0.1136363636363636,,1,0,0,1,0,1,Sachsen-Anhalt,0.2727272727272727,0.0,0.1363636363636363,0.0,0.0,False
460,2020,1,False,23,23,6,6,0,7,0,0,3.7782608695652176,0.1347826086956521,,0,0,0,0,0,0,Saarland,0.2608695652173913,0.0,0.3043478260869565,0.0,0.0,False
460,2020,2,True,17,5,1,1,0,0,0,0,9.82,0.04,,1,0,0,0,1,0,Saarland,0.2,0.0,0.0,0.0,0.0,False
460,2021,6,False,9,22,1,1,0,0,0,0,17.572727272727274,0.0272727272727272,,3,1,0,0,1,0,Saarland,0.0454545454545454,0.0,0.0,0.0,0.0,True
460,2023,4,True,2,10,1,1,0,0,0,0,8.309999999999999,0.16,,0,0,0,0,0,0,Saarland,0.1,0.0,0.0,0.0,0.0,False
460,2024,1,True,0,8,0,0,0,4,0,0,-0.875,0.0,,0,0,0,0,0,0,Saarland,0.0,0.0,0.5,0.0,0.0,False
460,2024,11,False,13,21,4,4,0,1,0,0,6.70952380952381,0.1333333333333333,,4,0,0,1,2,0,Saarland,0.1904761904761904,0.0,0.0476190476190476,0.0,0.0,False
555,2023,8,False,3,23,5,2,3,0,0,0,15.373913043478264,1.0869565217391304,,6,1,0,3,2,0,Nordrhein-Westfalen,0.217391304347826,0.1304347826086956,0.0,0.0,0.0,False
555,2023,12,False,6,21,11,11,0,1,0,0,5.695238095238095,0.2428571428571428,,95,0,15,17,62,11,Nordrhein-Westfalen,0.5238095238095238,0.0,0.0476190476190476,0.0,0.0,False
555,2024,8,True,15,9,0,0,0,0,0,0,23.566666666666663,0.0,,100,0,19,22,1,0,Nordrhein-Westfalen,0.0,0.0,0.0,0.0,0.0,False
662,2021,5,False,17,20,2,2,0,0,0,6,15.07,0.045,148.85,54,1,6,9,13,0,Niedersachsen,0.1,0.0,0.0,0.0,0.3,True
662,2023,5,True,6,8,0,0,0,0,0,0,8.6,0.0,4.5,2,0,0,1,0,0,Niedersachsen,0.0,0.0,0.0,0.0,0.0,False
691,2020,4,False,18,22,1,1,0,0,0,0,14.804545454545456,0.0181818181818181,96.6818181818182,30,0,7,3,0,0,Bremen,0.0454545454545454,0.0,0.0,0.0,0.0,True
691,2020,4,True,19,8,0,0,0,0,0,0,15.55,0.0,55.5,12,0,3,4,0,0,Bremen,0.0,0.0,0.0,0.0,0.0,False
691,2022,8,True,9,8,0,0,0,0,0,0,18.4125,0.0,95.625,11,0,1,4,1,0,Bremen,0.0,0.0,0.0,0.0,0.0,False
691,2022,12,True,20,9,1,1,0,5,0,0,2.3666666666666667,0.0333333333333333,0.0,4,1,1,2,2,0,Bremen,0.1111111111111111,0.0,0.5555555555555556,0.0,0.0,False
701,2021,11,True,18,8,2,2,0,0,0,0,7.5875,0.05,,5,0,0,1,4,0,Bremen,0.25,0.0,0.0,0.0,0.0,False
701,2022,3,True,20,8,0,0,0,0,0,0,7.1875,0.0,,2,0,0,0,0,0,Bremen,0.0,0.0,0.0,0.0,0.0,False
701,2024,6,False,19,20,5,5,0,0,0,0,17.585,0.105,,4,0,1,2,0,0,Bremen,0.25,0.0,0.0,0.0,0.0,False
853,2020,9,False,19,22,0,0,0,0,0,0,18.11818181818182,0.0,20.272727272727277,14,0,7,3,0,0,Sachsen,0.0,0.0,0.0,0.0,0.0,False
853,2021,2,False,5,20,3,3,0,7,0,0,0.1949999999999999,0.11,0.0,11,0,4,3,4,2,Sachsen,0.15,0.0,0.35,0.0,0.0,False
853,2021,4,True,23,8,0,0,0,0,0,0,4.175,0.0,0.0,0,0,0,0,0,0,Sachsen,0.0,0.0,0.0,0.0,0.0,False
853,2023,7,True,15,10,1,1,0,0,2,9,25.19,0.04,235.3,9,0,2,3,2,0,Sachsen,0.1,0.0,0.0,0.2,0.9,False
853,2023,8,False,18,23,4,4,0,0,1,0,21.078260869565216,0.2130434782608695,76.08695652173913,27,0,5,7,5,0,Sachsen,0.1739130434782608,0.0,0.0,0.0434782608695652,0.0,True
1048,2020,3,False,4,22,3,3,0,5,0,0,3.209090909090909,0.0363636363636363,0.0,0,0,0,0,0,0,Sachsen,0.1363636363636363,0.0,0.2272727272727272,0.0,0.0,False
1975,2020,11,False,23,21,2,2,0,0,0,0,6.842857142857143,0.0238095238095238,0.0,3,0,1,2,2,0,Hamburg,0.0952380952380952,0.0,0.0,0.0,0.0,False
1981,2020,1,True,0,8,0,0,0,0,0,0,4.2125,0.0,,1,0,0,0,1,0,Hamburg,0.0,0.0,0.0,0.0,0.0,False
1981,2020,4,False,21,22,0,0,0,0,0,0,10.995454545454546,0.0,,5,0,0,2,0,0,Hamburg,0.0,0.0,0.0,0.0,0.0,False
1981,2020,7,False,18,23,5,5,0,0,0,0,19.047826086956523,0.1521739130434782,,16,1,2,3,4,0,Hamburg,0.217391304347826,0.0,0.0,0.0,0.0,True
1981,2021,10,False,13,21,4,4,0,0,0,0,13.814285714285717,0.2,,30,0,4,2,9,0,Hamburg,0.1904761904761904,0.0,0.0,0.0,0.0,False
1981,2021,11,False,12,21,1,1,0,0,0,0,8.666666666666666,0.0047619047619047,,16,0,5,2,2,0,Hamburg,0.0476190476190476,0.0,0.0,0.0,0.0,False
2290,2020,4,True,7,8,0,0,0,0,0,0,8.625,0.0,9.25,3,1,0,1,0,0,Bayern,0.0,0.0,0.0,0.0,0.0,False
2712,2021,1,True,21,10,1,1,0,4,0,0,0.53,0.04,0.0,2,0,0,0,1,0,Baden-Württemberg,0.1,0.0,0.4,0.0,0.0,False
2712,2023,2,False,13,20,1,1,0,1,0,0,4.845000000000001,0.005,115.65,16,0,2,1,2,0,Baden-Württemberg,0.05,0.0,0.05,0.0,0.0,False
3015,2021,6,True,4,8,0,0,0,0,0,0,17.6625,0.0,0.0,0,0,0,0,0,0,Brandenburg,0.0,0.0,0.0,0.0,0.0,False
3015,2021,7,False,4,22,0,0,0,0,0,0,17.077272727272728,0.0,0.0,0,0,0,0,0,0,Brandenburg,0.0,0.0,0.0,0.0,0.0,False
3631,2024,3,False,6,21,3,3,0,0,0,0,6.414285714285716,0.0523809523809523,0.0,3,0,0,1,0,0,Niedersachsen,0.1428571428571428,0.0,0.0,0.0,0.0,False
3631,2024,11,True,10,9,1,1,0,0,0,0,7.111111111111111,0.0111111111111111,27.666666666666668,2,0,1,0,1,0,Niedersachsen,0.1111111111111111,0.0,0.0,0.0,0.0,False
3987,2023,4,True,0,10,3,3,0,0,0,0,8.370000000000001,0.23,0.0,0,0,0,0,0,0,Brandenburg,0.3,0.0,0.0,0.0,0.0,False
3987,2023,12,True,7,10,1,1,0,2,0,0,2.79,0.03,0.0,0,0,0,0,0,0,Brandenburg,0.1,0.0,0.2,0.0,0.0,False
3987,2024,3,True,22,10,1,1,0,0,0,0,7.05,0.04,0.0,4,0,0,2,0,0,Brandenburg,0.1,0.0,0.0,0.0,0.0,False
4271,2020,4,False,4,22,1,1,0,0,0,0,7.081818181818182,0.0045454545454545,0.0,0,0,0,0,0,0,Mecklenburg-Vorpommern,0.0454545454545454,0.0,0.0,0.0,0.0,False
4271,2020,6,True,4,8,1,1,0,0,0,0,15.15,0.25,0.0,0,0,0,0,0,0,Mecklenburg-Vorpommern,0.125,0.0,0.0,0.0,0.0,False
4271,2021,4,False,15,22,1,1,0,0,0,13,7.918181818181818,0.1045454545454545,193.13636363636363,11,0,0,4,3,0,Mecklenburg-Vorpommern,0.0454545454545454,0.0,0.0,0.0,0.5909090909090909,False
4271,2021,5,False,2,21,3,3,0,0,0,0,10.071428571428571,0.1523809523809524,0.0,0,0,0,0,0,0,Mecklenburg-Vorpommern,0.1428571428571428,0.0,0.0,0.0,0.0,False
4271,2023,2,True,22,8,0,0,0,1,0,0,2.7125,0.0,0.0,1,0,0,0,0,0,Mecklenburg-Vorpommern,0.0,0.0,0.125,0.0,0.0,False
4271,2024,11,False,17,21,1,1,0,0,0,0,7.357142857142857,0.0142857142857142,0.4285714285714285,6,0,0,1,3,0,Mecklenburg-Vorpommern,0.0476190476190476,0.0,0.0,0.0,0.0,True
4336,2021,6,False,9,22,1,1,0,0,0,0,18.3,0.0454545454545454,91.5909090909091,11,0,0,5,0,0,Saarland,0.0454545454545454,0.0,0.0,0.0,0.0,True
4336,2024,6,False,6,20,4,4,0,0,0,0,12.5,0.0699999999999999,1.0,2,0,0,0,0,0,Saarland,0.2,0.0,0.0,0.0,0.0,False
4336,2024,11,False,21,21,4,4,0,1,0,0,5.276190476190476,0.3047619047619048,0.0,5,0,1,2,0,0,Saarland,0.1904761904761904,0.0,0.0476190476190476,0.0,0.0,False
4393,2022,7,True,14,10,0,0,0,0,0,8,19.57,0.0,240.8,5,0,2,0,0,0,Schleswig-Holstein,0.0,0.0,0.0,0.0,0.8,False
4393,2023,11,True,9,8,1,1,0,0,0,0,6.65,0.2,10.125,1,0,0,0,0,0,Schleswig-Holstein,0.125,0.0,0.0,0.0,0.0,False
4393,2023,12,True,23,10,4,4,0,2,0,0,4.36,0.35,0.0,0,0,0,0,0,0,Schleswig-Holstein,0.4,0.0,0.2,0.0,0.0,False
4466,2020,11,True,20,9,2,2,0,0,0,0,7.677777777777777,0.1222222222222222,0.0,1,0,0,0,0,0,Schleswig-Holstein,0.2222222222222222,0.0,0.0,0.0,0.0,False
4466,2020,12,True,21,8,2,2,0,0,0,0,4.45,0.05,0.0,2,0,0,1,2,0,Schleswig-Holstein,0.25,0.0,0.0,0.0,0.0,False
4466,2022,7,False,10,21,4,4,0,0,0,2,17.876190476190477,0.1047619047619047,126.52380952380952,13,0,4,2,3,0,Schleswig-Holstein,0.1904761904761904,0.0,0.0,0.0,0.0952380952380952,False
4466,2023,6,True,20,8,1,1,0,0,0,0,20.0,0.0125,64.375,3,0,0,2,0,0,Schleswig-Holstein,0.125,0.0,0.0,0.0,0.0,False
4466,2023,12,False,18,21,4,4,0,4,0,0,3.380952380952381,0.0619047619047618,0.0,9,1,3,2,8,1,Schleswig-Holstein,0.1904761904761904,0.0,0.1904761904761904,0.0,0.0,True
4466,2024,1,False,2,23,4,3,1,9,0,0,1.7,0.3304347826086956,0.0,1,0,0,1,1,0,Schleswig-Holstein,0.1739130434782608,0.0434782608695652,0.391304347826087,0.0,0.0,False
4466,2024,2,True,12,8,3,3,0,0,0,0,6.075,0.25,38.75,2,0,0,2,2,0,Schleswig-Holstein,0.375,0.0,0.0,0.0,0.0,False
4466,2024,7,True,14,8,1,1,0,0,0,5,21.9,0.025,231.375,8,0,1,2,1,0,Schleswig-Holstein,0.125,0.0,0.0,0.0,0.625,False
4642,2021,1,True,10,10,1,1,0,5,0,0,-1.34,0.01,21.8,0,0,0,0,0,0,Sachsen-Anhalt,0.1,0.0,0.5,0.0,0.0,False
4642,2021,4,True,14,8,1,1,0,0,0,3,9.9125,0.0125,171.875,2,0,1,1,1,0,Sachsen-Anhalt,0.125,0.0,0.0,0.0,0.375,False
4642,2022,9,True,1,8,0,0,0,0,0,0,12.4,0.0,0.0,1,0,1,0,1,0,Sachsen-Anhalt,0.0,0.0,0.0,0.0,0.0,False
4928,2022,11,False,22,22,4,4,0,0,0,0,8.145454545454545,0.1227272727272727,0.0,15,0,3,6,10,0,Baden-Württemberg,0.1818181818181818,0.0,0.0,0.0,0.0,False
4928,2023,9,False,13,21,2,2,0,0,0,14,22.652380952380952,0.0333333333333333,209.1904761904762,98,3,20,13,3,0,Baden-Württemberg,0.0952380952380952,0.0,0.0,0.0,0.6666666666666666,False
4928,2023,9,True,5,9,0,0,0,0,0,0,14.91111111111111,0.0,0.0,4,0,1,1,0,0,Baden-Württemberg,0.0,0.0,0.0,0.0,0.0,False
5100,2023,1,True,22,9,2,2,0,4,0,0,4.699999999999999,0.0666666666666666,0.0,1,0,0,0,1,0,Rheinland-Pfalz,0.2222222222222222,0.0,0.4444444444444444,0.0,0.0,False
5100,2023,2,True,17,8,0,0,0,0,0,0,6.4875,0.0,31.25,4,0,2,2,2,0,Rheinland-Pfalz,0.0,0.0,0.0,0.0,0.0,False
5100,2023,11,True,11,8,3,3,0,0,0,0,6.925,0.1,34.875,2,0,0,0,2,0,Rheinland-Pfalz,0.375,0.0,0.0,0.0,0.0,False
